playerID,yearID,teamID,inseason,games,rank
loftuto01,1902,WS1,1,138,6
hanlone01,1902,BRO,1,141,2
buckeal99,1902,BSN,1,142,3
seleefr99,1902,CHN,1,143,5
mcphebi01,1902,CIN,1,65,4
bancrfr99,1902,CIN,2,16,4
kellejo01,1902,CIN,3,60,4
fogelho99,1902,NY1,1,44,8
smithhe01,1902,NY1,2,32,8
mcgrajo01,1902,NY1,3,65,8
shettbi99,1902,PHI,1,138,7
clarkfr01,1902,PIT,1,142,1
donovpa01,1902,SLN,1,140,6
colliji01,1903,BOS,1,141,1
callani01,1903,CHA,1,138,7
armoubi99,1903,CLE,1,140,3
barroed99,1903,DET,1,137,5
griffcl01,1903,NYA,1,136,4
mackco01,1903,PHA,1,137,2
mcaleji01,1903,SLA,1,139,6
loftuto01,1903,WS1,1,140,8
hanlone01,1903,BRO,1,139,5
buckeal99,1903,BSN,1,140,6
seleefr99,1903,CHN,1,139,3
kellejo01,1903,CIN,1,141,4
mcgrajo01,1903,NY1,1,142,2
zimmech01,1903,PHI,1,139,7
clarkfr01,1903,PIT,1,141,1
donovpa01,1903,SLN,1,139,8
colliji01,1904,BOS,1,157,1
callani01,1904,CHA,1,42,3
jonesfi01,1904,CHA,2,114,3
armoubi99,1904,CLE,1,154,4
barroed99,1904,DET,1,84,7
lowebo01,1904,DET,2,78,7
griffcl01,1904,NYA,1,155,2
mackco01,1904,PHA,1,155,5
mcaleji01,1904,SLA,1,156,6
kittrma01,1904,WS1,1,18,8
donovpa01,1904,WS1,2,139,8
hanlone01,1904,BRO,1,154,6
buckeal99,1904,BSN,1,155,7
seleefr99,1904,CHN,1,156,2
kellejo01,1904,CIN,1,157,3
mcgrajo01,1904,NY1,1,158,1
duffyhu01,1904,PHI,1,155,8
clarkfr01,1904,PIT,1,156,4
nichoki01,1904,SLN,1,155,5
colliji01,1905,BOS,1,153,4
jonesfi01,1905,CHA,1,158,2
lajoina01,1905,CLE,1,58,5
bradlbi01,1905,CLE,2,41,5
